1,M1,PHY,ELE,CAED,CIV,TE1
2,M2,CHE,CP,MEC,ELC,TE2
3,M3,DS,ADE,CO,SE,DMS
4,M4,DAA,OS,MC,OOC,DC
5,ME,CN,DBMS,PY,USP,ATC
6,FS,ST,WT,PE,OE,MAD
